Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Metric,Year,Q2 2023,Q3 2023,Q3 2023 chg,Q4 2023,Q4 2023 chg,Q1 2024,Q1 2024 chg,Q2 2024,Q2 2024 chg,Q3 2024,Q3 2024 chg,Q4 2024,Q4 2024 chg,Q1 2025,Q1 2025 chg,Q2 2025,Q2 2025 chg,Q3 2025,Q3 2025 chg,Q4 2025,Q4 2025 chg,Q1 2026,Q1 2026 chg,Price,PE,12m Rev,Return_YTD,Return_3m,Return_12m
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,EPS,CY2025,2.209,2.237,+1.3%,2.339,+4.6%,2.437,+4.2%,2.485,+2.0%,2.62,+5.4%,2.919,+11.4%,2.761,-5.4%,3.627,+31.4%,3.582,-1.2%,6.51,+81.7%,2.49,-61.8%,72.17,29.0,-9.8%,-11.7%,-15.6%,+11.7%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,EPS,CY2026,2.936,2.753,-6.2%,2.993,+8.7%,3.277,+9.5%,3.589,+9.5%,3.476,-3.1%,3.889,+11.9%,3.842,-1.2%,4.079,+6.2%,4.226,+3.6%,4.077,-3.5%,3.399,-16.6%,72.17,21.2,-11.5%,-11.7%,-15.6%,+11.7%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,EPS,CY2027,3.733,3.348,-10.3%,3.721,+11.1%,3.94,+5.9%,4.657,+18.2%,4.439,-4.7%,4.419,-0.5%,4.869,+10.2%,4.931,+1.3%,4.922,-0.2%,4.902,-0.4%,4.395,-10.3%,72.17,16.4,-9.7%,-11.7%,-15.6%,+11.7%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,EPS,CY2028,4.56,4.202,-7.9%,4.452,+5.9%,4.62,+3.8%,5.021,+8.7%,5.118,+1.9%,5.24,+2.4%,5.729,+9.3%,5.563,-2.9%,5.7,+2.5%,6.03,+5.8%,5.561,-7.8%,72.17,13.0,-2.9%,-11.7%,-15.6%,+11.7%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,EPS,CY2025,16.42,16.228,-1.2%,17.311,+6.7%,18.304,+5.7%,18.78,+2.6%,22.731,+21.0%,22.775,+0.2%,22.932,+0.7%,21.368,-6.8%,22.345,+4.6%,23.039,+3.1%,22.806,-1.0%,927.06,40.6,-0.5%,-13.7%,-12.9%,+25.6%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,EPS,CY2026,21.166,20.534,-3.0%,23.414,+14.0%,23.956,+2.3%,24.69,+3.1%,29.924,+21.2%,28.326,-5.3%,28.814,+1.7%,29.158,+1.2%,29.763,+2.1%,32.347,+8.7%,34.112,+5.5%,927.06,27.2,+18.4%,-13.7%,-12.9%,+25.6%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,EPS,CY2027,25.203,25.136,-0.3%,29.779,+18.5%,30.779,+3.4%,31.751,+3.2%,36.376,+14.6%,34.059,-6.4%,34.548,+1.4%,35.248,+2.0%,35.819,+1.6%,39.669,+10.7%,40.622,+2.4%,927.06,22.8,+17.6%,-13.7%,-12.9%,+25.6%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,EPS,CY2028,27.942,28.921,+3.5%,35.383,+22.3%,36.21,+2.3%,37.888,+4.6%,42.95,+13.4%,39.941,-7.0%,40.589,+1.6%,42.167,+3.9%,41.769,-0.9%,46.88,+12.2%,47.507,+1.3%,927.06,19.5,+17.0%,-13.7%,-12.9%,+25.6%
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,EPS,CY2025,12.687,12.602,-0.7%,12.982,+3.0%,13.369,+3.0%,13.318,-0.4%,13.201,-0.9%,13.071,-1.0%,13.135,+0.5%,13.393,+2.0%,13.403,+0.1%,,,,,372.88,27.8,+1.5%,-22.9%,-22.1%,+3.6%
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,EPS,CY2026,14.78,14.737,-0.3%,15.403,+4.5%,15.676,+1.8%,15.676,+0.0%,15.309,-2.3%,15.157,-1.0%,15.023,-0.9%,15.186,+1.1%,15.621,+2.9%,15.961,+2.2%,16.913,+6.0%,372.88,22.0,+12.6%,-22.9%,-22.1%,+3.6%
