Ticker,Group,EPS Type,FYE,Year,Q2 2023,Q3 2023,Q3 2023 chg,Q4 2023,Q4 2023 chg,Q1 2024,Q1 2024 chg,Q2 2024,Q2 2024 chg,Q3 2024,Q3 2024 chg,Q4 2024,Q4 2024 chg,Q1 2025,Q1 2025 chg,Q2 2025,Q2 2025 chg,Q3 2025,Q3 2025 chg,Q4 2025,Q4 2025 chg,Q1 2026,Q1 2026 chg,Price,PE,12m Rev,Return_YTD,Return_3m,Return_12m
META,Portfolio,GAAP,Dec,CY2025,16.979,19.642,+15.7%,20.079,+2.2%,23.105,+15.1%,23.297,+0.8%,24.468,+5.0%,25.471,+4.1%,25.186,-1.1%,25.541,+1.4%,28.135,+10.2%,22.798,-19.0%,22.814,+0.1%,574.46,25.2,-9.4%,-13.0%,-11.7%,+13.8%
META,Portfolio,GAAP,Dec,CY2026,19.286,22.348,+15.9%,22.723,+1.7%,27.072,+19.1%,27.128,+0.2%,28.139,+3.7%,29.013,+3.1%,28.745,-0.9%,28.339,-1.4%,29.93,+5.6%,29.619,-1.0%,29.632,+0.0%,574.46,19.4,+3.1%,-13.0%,-11.7%,+13.8%
META,Portfolio,GAAP,Dec,CY2027,20.814,24.903,+19.6%,24.645,-1.0%,31.003,+25.8%,31.178,+0.6%,32.41,+4.0%,33.863,+4.5%,33.237,-1.8%,32.466,-2.3%,34.2,+5.3%,33.537,-1.9%,34.515,+2.9%,574.46,16.6,+3.8%,-13.0%,-11.7%,+13.8%
META,Portfolio,GAAP,Dec,CY2028,22.873,28.283,+23.7%,27.171,-3.9%,31.862,+17.3%,34.116,+7.1%,35.93,+5.3%,37.192,+3.5%,37.421,+0.6%,37.956,+1.4%,39.926,+5.2%,38.858,-2.7%,40.542,+4.3%,574.46,14.2,+8.3%,-13.0%,-11.7%,+13.8%
AMZN,Portfolio,GAAP,Dec,CY2025,3.726,4.521,+21.3%,4.928,+9.0%,5.338,+8.3%,5.826,+9.1%,5.819,-0.1%,6.224,+7.0%,6.331,+1.7%,6.244,-1.4%,6.673,+6.9%,7.094,+6.3%,7.102,+0.1%,209.77,29.5,+12.2%,-9.1%,-7.4%,+22.7%
AMZN,Portfolio,GAAP,Dec,CY2026,5.206,5.957,+14.4%,6.397,+7.4%,6.973,+9.0%,7.424,+6.5%,7.343,-1.1%,7.611,+3.6%,7.631,+0.3%,7.298,-4.4%,7.629,+4.5%,7.926,+3.9%,7.721,-2.6%,209.77,27.2,+1.2%,-9.1%,-7.4%,+22.7%
AMZN,Portfolio,GAAP,Dec,CY2027,6.47,7.361,+13.8%,7.84,+6.5%,8.284,+5.7%,8.663,+4.6%,8.866,+2.3%,9.171,+3.4%,9.373,+2.2%,8.877,-5.3%,9.253,+4.2%,9.685,+4.7%,9.33,-3.7%,209.77,22.5,-0.5%,-9.1%,-7.4%,+22.7%
AMZN,Portfolio,GAAP,Dec,CY2028,8.313,9.247,+11.2%,9.935,+7.4%,9.596,-3.4%,10.316,+7.5%,10.508,+1.9%,10.908,+3.8%,10.969,+0.6%,10.507,-4.2%,10.944,+4.2%,11.196,+2.3%,11.643,+4.0%,209.77,18.0,+6.1%,-9.1%,-7.4%,+22.7%
JPM,Portfolio,GAAP,Dec,CY2025,14.729,15.079,+2.4%,15.617,+3.6%,16.099,+3.1%,16.41,+1.9%,17.004,+3.6%,16.969,-0.2%,18.386,+8.4%,18.647,+1.4%,19.901,+6.7%,20.274,+1.9%,19.774,-2.5%,294.6,14.9,+7.5%,-8.6%,-9.5%,+40.1%
JPM,Portfolio,GAAP,Dec,CY2026,,14.797,,15.743,+6.4%,17.809,+13.1%,17.652,-0.9%,18.062,+2.3%,18.15,+0.5%,19.611,+8.0%,19.772,+0.8%,20.63,+4.3%,21.048,+2.0%,21.534,+2.3%,294.6,13.7,+9.8%,-8.6%,-9.5%,+40.1%
JPM,Portfolio,GAAP,Dec,CY2027,,15.0,,15.23,+1.5%,17.325,+13.8%,17.235,-0.5%,17.47,+1.4%,19.135,+9.5%,21.381,+11.7%,21.017,-1.7%,21.844,+3.9%,22.752,+4.2%,23.183,+1.9%,294.6,12.7,+8.4%,-8.6%,-9.5%,+40.1%
JPM,Portfolio,GAAP,Dec,CY2028,,,,14.94,,18.58,+24.4%,18.425,-0.8%,18.78,+1.9%,18.78,+0.0%,20.1,+7.0%,20.1,+0.0%,21.9,+9.0%,24.175,+10.4%,25.474,+5.4%,294.6,11.6,+26.7%,-8.6%,-9.5%,+40.1%
