Ticker,Group,EPS Type,Year,Q2 2024,Q3 2024,Q3 2024 chg,Q4 2024,Q4 2024 chg,Q1 2025,Q1 2025 chg,Q2 2025,Q2 2025 chg,Q3 2025,Q3 2025 chg,Q4 2025,Q4 2025 chg,Q1 2026,Q1 2026 chg,Price,PE,12m Rev
PGR,Portfolio,Adj,CY2028,15.18,15.84,+4.3%,16.1,+1.7%,17.91,+11.2%,17.91,+0.0%,17.44,-2.6%,16.86,-3.3%,16.1,-4.5%,195.25,12.1,-10.1%
CVNA,Portfolio,Adj,CY2025,0.25,1.49,+502.0%,2.55,+71.2%,3.36,+32.1%,4.87,+44.9%,5.25,+7.7%,5.12,-2.4%,5.14,+0.4%,313.91,61.1,+52.8%
CVNA,Portfolio,Adj,CY2026,1.69,3.05,+80.3%,4.76,+55.8%,4.93,+3.7%,6.16,+24.8%,7.05,+14.5%,7.24,+2.7%,7.41,+2.4%,313.91,42.4,+50.2%
CVNA,Portfolio,Adj,CY2027,4.15,5.16,+24.3%,7.39,+43.1%,6.91,-6.4%,7.81,+13.0%,9.91,+26.8%,9.77,-1.4%,10.07,+3.1%,313.91,31.2,+45.7%
CVNA,Portfolio,Adj,CY2028,5.43,6.36,+17.1%,8.95,+40.7%,8.17,-8.7%,12.16,+48.9%,13.42,+10.3%,12.68,-5.5%,12.91,+1.8%,313.91,24.3,+58.1%
APP,Portfolio,Adj,CY2025,3.75,4.67,+24.8%,6.02,+28.8%,6.7,+11.2%,8.11,+21.1%,9.04,+11.4%,9.37,+3.7%,9.38,+0.1%,386.37,41.2,+40.1%
APP,Portfolio,Adj,CY2026,4.54,6.06,+33.5%,8.03,+32.4%,9.8,+22.1%,11.95,+21.9%,14.03,+17.4%,14.66,+4.5%,15.46,+5.5%,386.37,25.0,+57.7%
APP,Portfolio,Adj,CY2027,5.02,6.92,+37.9%,10.34,+49.3%,12.84,+24.2%,14.53,+13.1%,17.55,+20.8%,18.9,+7.7%,20.32,+7.5%,386.37,19.0,+58.3%
APP,Portfolio,Adj,CY2028,5.6,7.91,+41.2%,11.71,+48.1%,15.41,+31.7%,17.57,+14.0%,22.69,+29.2%,23.81,+4.9%,25.3,+6.3%,386.37,15.3,+64.1%
VEEV,Portfolio,Adj,CY2025,6.16,6.24,+1.3%,6.45,+3.4%,6.45,+0.0%,,,,,,,,,173.98,27.0,+4.8%
VEEV,Portfolio,Adj,CY2026,6.79,6.83,+0.7%,7.02,+2.8%,7.32,+4.2%,7.66,+4.7%,7.8,+1.9%,7.93,+1.7%,7.94,+0.1%,173.98,21.9,+8.5%
VEEV,Portfolio,Adj,CY2027,7.6,7.66,+0.7%,7.81,+2.0%,8.08,+3.4%,8.33,+3.2%,8.44,+1.4%,8.57,+1.5%,8.86,+3.4%,173.98,19.6,+9.8%
VEEV,Portfolio,Adj,CY2028,8.66,8.68,+0.2%,8.9,+2.5%,9.12,+2.5%,9.84,+7.8%,9.76,-0.8%,9.6,-1.6%,9.89,+3.0%,173.98,17.6,+8.4%
FICO,Watchlist,Adj,CY2025,29.45,29.66,+0.7%,29.89,+0.8%,29.06,-2.8%,29.26,+0.7%,29.52,+0.9%,29.52,-0.0%,,,1089.76,36.9,-1.2%
FICO,Watchlist,Adj,CY2026,35.14,36.07,+2.6%,37.27,+3.3%,36.25,-2.7%,36.34,+0.3%,35.3,-2.9%,40.4,+14.5%,41.97,+3.9%,1089.76,26.0,+15.8%
FICO,Watchlist,Adj,CY2027,45.1,45.94,+1.9%,46.04,+0.2%,45.34,-1.5%,45.12,-0.5%,43.26,-4.1%,51.13,+18.2%,53.09,+3.8%,1089.76,20.5,+17.1%
FICO,Watchlist,Adj,CY2028,54.29,56.24,+3.6%,60.5,+7.6%,56.43,-6.7%,56.19,-0.4%,52.21,-7.1%,59.21,+13.4%,63.17,+6.7%,1089.76,17.3,+11.9%
GOOG,Watchlist,GAAP,CY2025,8.61,8.77,+1.9%,9.01,+2.7%,8.95,-0.6%,9.59,+7.1%,9.91,+3.3%,10.59,+6.9%,10.6,+0.1%,294.46,27.8,+18.4%
GOOG,Watchlist,GAAP,CY2026,9.8,10.0,+2.0%,10.21,+2.1%,10.23,+0.2%,10.19,-0.4%,10.71,+5.0%,11.21,+4.7%,11.62,+3.7%,294.46,25.3,+13.6%
GOOG,Watchlist,GAAP,CY2027,11.36,11.51,+1.4%,11.61,+0.8%,12.23,+5.3%,11.53,-5.7%,12.2,+5.8%,13.42,+10.0%,13.56,+1.1%,294.46,21.7,+10.9%
GOOG,Watchlist,GAAP,CY2028,12.97,13.09,+0.9%,13.28,+1.5%,13.18,-0.8%,13.32,+1.1%,14.04,+5.4%,14.63,+4.2%,15.68,+7.2%,294.46,18.8,+19.0%
MU,Watchlist,GAAP,CY2025,9.25,8.39,-9.3%,6.74,-19.7%,6.57,-2.5%,7.2,+9.6%,7.42,+3.1%,,,,,366.24,49.4,-11.6%
MU,Watchlist,GAAP,CY2026,11.73,12.29,+4.8%,10.77,-12.4%,10.97,+1.8%,11.78,+7.4%,14.79,+25.5%,29.11,+96.8%,53.42,+83.5%,366.24,6.9,+387.0%
MU,Watchlist,GAAP,CY2027,14.32,13.98,-2.4%,11.61,-16.9%,11.84,+2.0%,15.84,+33.8%,17.32,+9.3%,37.05,+113.9%,90.59,+144.5%,366.24,4.0,+665.1%
MU,Watchlist,GAAP,CY2028,16.29,13.61,-16.5%,12.6,-7.4%,13.91,+10.4%,18.6,+33.7%,18.25,-1.9%,36.88,+102.1%,81.15,+120.0%,366.24,4.5,+483.4%
HOOD,Watchlist,Adj,CY2025,0.58,0.69,+19.2%,1.11,+61.0%,1.48,+33.3%,1.31,-11.5%,1.74,+32.9%,2.04,+17.3%,2.07,+1.4%,68.9,33.3,+39.8%
